title,price,rating,reviews,URL
"HONOR Pad X9 with Free Flip-Cover 11.5-inch (29.21 cm) 2K Display, Snapdragon 685, 7GB (4GB+3GB RAM Turbo), 128GB Storage, 6 Speakers, Up-to 13 Hours Battery, Android 13, WiFi Tablet, Metal Body, Gray",,4.3 out of 5 stars,514 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2ODkzMTIwOTA1Mjg4NjU2OjE2OTc3MTEyMjY6c3BfYXRmOjMwMDAzODExMzk0MTczMjo6MDo6&url=%2FFlip-Cover-11-5-inch-Display-Snapdragon-Speakers%2Fdp%2FB0C9V7RYWD%2Fref%3Dsr_1_1_sspa%3Fcrid%3D34YS3OESTKLUG%26keywords%3Dtablets%26qid%3D1697711226%26sprefix%3D%252Caps%252C212%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo Tab M10 FHD Plus (3rd Gen) (10.61 inch (26.94 cm), 6 GB, 128 GB, Wi-Fi+LTE, Calling), Storm Grey with Qualcomm Snapdragon Processor, 7700 mAH Battery and Quad Speakers with Dolby Atmos",,4.1 out of 5 stars,609 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2ODkzMTIwOTA1Mjg4NjU2OjE2OTc3MTEyMjY6c3BfYXRmOjIwMDgxMTMwMjI0Nzk4OjowOjo&url=%2FLenovo-Qualcomm-Snapdragon-Processor-Speakers%2Fdp%2FB0BBH1QM1X%2Fref%3Dsr_1_2_sspa%3Fcrid%3D34YS3OESTKLUG%26keywords%3Dtablets%26qid%3D1697711226%26sprefix%3D%252Caps%252C212%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo Tab M10 FHD Plus (3rd Gen) (10.61 inch (26.94 cm), 6 GB, 128 GB, Wi-Fi), Storm Grey with Qualcomm Snapdragon Processor, 7700 mAH Battery and Quad Speakers with Dolby Atmos",,4.1 out of 5 stars,609 ratings,https://www.amazon.in//Lenovo-Qualcomm-Snapdragon-Processor-Speakers/dp/B0BBH9B732/ref=sr_1_3?crid=34YS3OESTKLUG&keywords=tablets&qid=1697711226&sprefix=%2Caps%2C212&sr=8-3
"Samsung Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi Tablet, Gray",,4.3 out of 5 stars,"1,277 ratings",https://www.amazon.in//Samsung-Galaxy-26-31-S-Pen-Tablet/dp/B0B3JK8YQW/ref=sr_1_4?crid=34YS3OESTKLUG&keywords=tablets&qid=1697711226&sprefix=%2Caps%2C212&sr=8-4
"Lenovo Tab M10 FHD 3rd Gen (10.1 inch (25.65 cm), 4 GB, 64 GB, Wi-Fi), Storm Grey",,3.9 out of 5 stars,425 ratings,https://www.amazon.in//Lenovo-10-1-25-65-Wi-Fi-Storm/dp/B0B8DKL2SD/ref=sr_1_5?crid=34YS3OESTKLUG&keywords=tablets&qid=1697711226&sprefix=%2Caps%2C212&sr=8-5
"Lenovo Tab M10 FHD Plus (3rd Gen) (10.61 inch (26.94 cm), 6 GB, 128 GB, Wi-Fi), Storm Grey with Qualcomm Snapdragon Processor, 7700 mAH Battery and Quad Speakers with Dolby Atmos",,4.1 out of 5 stars,609 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyOTkwNTU2MTY4ODM2NTY6MTY5NzcxMTIyNjpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwNzgwMjUzNTMwOTg6OjA6Og&url=%2FLenovo-Qualcomm-Snapdragon-Processor-Speakers%2Fdp%2FB0BBH9B732%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D34YS3OESTKLUG%26cv_ct_cx%3Dtablets%26keywords%3Dtablets%26pd_rd_i%3DB0BBH9B732%26pd_rd_r%3D8464242e-af07-4e39-91a6-356c365053ac%26pd_rd_w%3DH3IIq%26pd_rd_wg%3D5Yz1L%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DC64ST1116ZBKZN8P63RH%26qid%3D1697711226%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C212%26sr%3D1-1-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HONOR Pad X9 with Free Flip-Cover 11.5-inch (29.21 cm) 2K Display, Snapdragon 685, 7GB (4GB+3GB RAM Turbo), 128GB Storage, 6 Speakers, Up-to 13 Hours Battery, Android 13, WiFi Tablet, Metal Body, Gray",,4.3 out of 5 stars,514 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyOTkwNTU2MTY4ODM2NTY6MTY5NzcxMTIyNjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDM4MTEzOTQxNzMyOjoxOjo&url=%2FFlip-Cover-11-5-inch-Display-Snapdragon-Speakers%2Fdp%2FB0C9V7RYWD%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D34YS3OESTKLUG%26cv_ct_cx%3Dtablets%26keywords%3Dtablets%26pd_rd_i%3DB0C9V7RYWD%26pd_rd_r%3D8464242e-af07-4e39-91a6-356c365053ac%26pd_rd_w%3DH3IIq%26pd_rd_wg%3D5Yz1L%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DC64ST1116ZBKZN8P63RH%26qid%3D1697711226%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C212%26sr%3D1-2-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo Tab P11 (2nd Gen)| 11.5 Inch| 6 GB, 128 GB Expandable| Wi-Fi + LTE| 120 Hz, 2K Display(2000x1200)|Quad Speakers with Dolby Atmos|Octa-Core Processor |13 MP Front Camera (Storm Grey, ZABG0285IN)",,4.1 out of 5 stars,602 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyOTkwNTU2MTY4ODM2NTY6MTY5NzcxMTIyNjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDUxMDg3MjkxOTMyOjoyOjo&url=%2FLenovo-Expandable-2000x1200-Octa-Core-ZABG0285IN%2Fdp%2FB0CGTVSHB2%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D34YS3OESTKLUG%26cv_ct_cx%3Dtablets%26keywords%3Dtablets%26pd_rd_i%3DB0CGTVSHB2%26pd_rd_r%3D8464242e-af07-4e39-91a6-356c365053ac%26pd_rd_w%3DH3IIq%26pd_rd_wg%3D5Yz1L%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DC64ST1116ZBKZN8P63RH%26qid%3D1697711226%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C212%26sr%3D1-3-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Xiaomi Pad 6| Qualcomm Snapdragon 870| 144Hz Refresh Rate| 6GB, 128GB| 2.8K+ Display (11-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",,4.4 out of 5 stars,"1,189 ratings",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyOTkwNTU2MTY4ODM2NTY6MTY5NzcxMTIyNjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDAzNDg3NzYxNTMyOjozOjo&url=%2FXiaomi-Qualcomm-Snapdragon-Refresh-Speakers%2Fdp%2FB0C6R11QP5%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D34YS3OESTKLUG%26cv_ct_cx%3Dtablets%26keywords%3Dtablets%26pd_rd_i%3DB0C6R11QP5%26pd_rd_r%3D8464242e-af07-4e39-91a6-356c365053ac%26pd_rd_w%3DH3IIq%26pd_rd_wg%3D5Yz1L%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DC64ST1116ZBKZN8P63RH%26qid%3D1697711226%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C212%26sr%3D1-4-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo Tab M9 | 9 Inch (22.86 cm)| 3 GB RAM, 32 GB ROM Expandable| Wi-Fi | Dual Speaker with Dolby Atmos| Octa-Core Processor| Color: Arctic Grey (ZAC40038IN)",,4.2 out of 5 stars,115 ratings,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyOTkwNTU2MTY4ODM2NTY6MTY5NzcxMTIyNjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDE2MjI1NTk2ODMyOjo0Ojo&url=%2FLenovo-Expandable-Speaker-Octa-Core-Processor%2Fdp%2FB0C937Z1NW%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D34YS3OESTKLUG%26cv_ct_cx%3Dtablets%26keywords%3Dtablets%26pd_rd_i%3DB0C937Z1NW%26pd_rd_r%3D8464242e-af07-4e39-91a6-356c365053ac%26pd_rd_w%3DH3IIq%26pd_rd_wg%3D5Yz1L%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DC64ST1116ZBKZN8P63RH%26qid%3D1697711226%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C212%26sr%3D1-5-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
